#Bridge:SAmerica-eth18:Eth6
186.68.0.1/20,186.68.15.254
190.12.0.1/20,190.12.15.254
186.144.0.1/20,186.144.15.254
66.231.64.1/20,66.231.79.254
181.112.0.1/20,181.112.15.254
200.110.64.1/20,200.110.79.254
200.75.32.1/20,200.75.47.254
190.6.176.1/20,190.6.191.254
200.89.96.1/20,200.89.111.254
186.66.128.1/20,186.66.143.254
200.58.208.1/20,200.58.223.254
200.26.128.1/20,200.26.143.254
200.30.96.1/20,200.30.111.254
200.119.64.1/20,200.119.79.254
201.221.160.1/20,201.221.175.254
190.65.0.1/20,190.65.15.254
190.130.128.1/20,190.130.143.254
200.63.192.1/20,200.63.207.254
200.74.128.1/20,200.74.143.254
200.69.160.1/20,200.69.175.254
200.31.192.1/20,200.31.207.254
190.85.0.1/20,190.85.15.254
190.214.128.1/20,190.214.143.254
200.31.208.1/20,200.31.223.254
200.30.80.1/20,200.30.95.254
181.176.0.1/20,181.176.15.254
201.238.160.1/20,201.238.175.254
186.98.0.1/20,186.98.15.254
200.30.64.1/20,200.30.79.254
201.217.192.1/20,201.217.207.254
200.12.176.1/20,200.12.191.254
200.122.192.1/20,200.122.207.254
200.63.224.1/20,200.63.239.254
190.66.0.1/20,190.66.15.254
190.119.0.1/20,190.119.15.254
186.5.0.1/20,186.5.15.254
186.30.0.1/20,186.30.15.254
161.132.0.1/20,161.132.15.254
190.60.0.1/20,190.60.15.254
200.9.16.1/20,200.9.31.254
200.58.224.1/20,200.58.239.254
190.6.160.1/20,190.6.175.254
200.69.96.1/20,200.69.111.254
186.4.128.1/20,186.4.143.254
200.89.224.1/20,200.89.239.254
200.13.192.1/20,200.13.207.254
200.55.224.1/20,200.55.239.254
186.97.128.1/20,186.97.143.254
200.6.160.1/20,200.6.175.254
200.73.64.1/20,200.73.79.254
201.218.0.1/20,201.218.15.254
181.144.0.1/20,181.144.15.254
190.14.224.1/20,190.14.239.254
190.105.240.1/20,190.105.255.254
190.123.48.1/20,190.123.63.254
200.126.0.1/20,200.126.15.254
190.0.32.1/20,190.0.47.254
190.116.0.1/20,190.116.15.254
190.9.96.1/20,190.9.111.254
190.81.128.1/20,190.81.143.254
200.29.112.1/20,200.29.127.254
190.12.128.1/20,190.12.143.254
181.48.0.1/20,181.48.15.254
201.190.64.1/20,201.190.79.254
190.155.0.1/20,190.155.15.254
190.110.192.1/20,190.110.207.254
201.219.192.1/20,201.219.207.254
186.80.0.1/20,186.80.15.254
157.100.0.1/20,157.100.15.254
190.11.240.1/20,190.11.255.254
190.187.0.1/20,190.187.15.254
190.97.64.1/20,190.97.79.254
186.33.128.1/20,186.33.143.254
201.217.96.1/20,201.217.111.254
200.125.224.1/20,200.125.239.254
190.155.128.1/20,190.155.143.254
186.46.0.1/20,186.46.15.254
190.12.64.1/20,190.12.79.254
181.192.128.1/20,181.192.143.254
190.7.64.1/20,190.7.79.254
186.154.0.1/20,186.154.15.254
190.84.0.1/20,190.84.15.254
200.115.32.1/20,200.115.47.254
190.71.0.1/20,190.71.15.254
201.217.64.1/20,201.217.79.254
200.125.144.1/20,200.125.159.254
200.122.240.1/20,200.122.255.254
201.221.128.1/20,201.221.143.254
190.120.64.1/20,190.120.79.254
200.3.128.1/20,200.3.143.254
201.219.112.1/20,201.219.127.254
190.12.80.1/20,190.12.95.254
200.125.192.1/20,200.125.207.254
181.224.224.1/20,181.224.239.254
201.244.0.1/20,201.244.15.254
200.7.224.1/20,200.7.239.254
