#Bridge:SAmerica-eth18:Eth3
190.111.224.1/20,190.111.239.254
186.96.208.1/20,186.96.223.254
190.12.112.1/20,190.12.127.254
181.80.0.1/18,181.80.63.254
190.14.0.1/20,190.14.15.254
190.224.0.1/20,190.224.15.254
190.246.0.1/20,190.246.15.254
190.124.0.1/20,190.124.15.254
190.7.240.1/20,190.7.255.254
190.1.0.1/20,190.1.15.254
190.108.32.1/20,190.108.47.254
190.114.160.1/20,190.114.175.254
181.16.128.1/18,181.16.191.254
200.108.144.1/20,200.108.159.254
168.83.0.1/18,168.83.63.254
186.5.176.1/20,186.5.191.254
181.189.160.1/20,181.189.175.254
200.117.0.1/20,200.117.15.254
190.107.112.1/20,190.107.127.254
190.0.160.1/20,190.0.175.254
170.210.0.1/18,170.210.63.254
190.6.208.1/20,190.6.223.254
190.124.128.1/20,190.124.143.254
190.18.0.1/20,190.18.15.254
190.6.96.1/20,190.6.111.254
200.31.224.1/20,200.31.239.254
181.224.96.1/20,181.224.111.254
190.6.240.1/20,190.6.255.254
190.244.0.1/20,190.244.15.254
190.188.0.1/20,190.188.15.254
186.96.224.1/20,186.96.239.254
190.97.0.1/20,190.97.15.254
190.107.96.1/20,190.107.111.254
200.108.80.1/20,200.108.95.254
190.92.160.1/20,190.92.175.254
200.127.128.1/20,200.127.143.254
190.115.192.1/20,190.115.207.254
190.194.0.1/20,190.194.15.254
186.158.0.1/20,186.158.15.254
200.3.32.1/20,200.3.47.254
190.185.192.1/20,190.185.207.254
190.112.96.1/20,190.112.111.254
167.252.0.1/18,167.252.63.254
190.12.224.1/20,190.12.239.254
190.151.144.1/20,190.151.159.254
181.192.0.1/20,181.192.15.254
190.184.240.1/20,190.184.255.254
190.3.128.1/20,190.3.143.254
186.121.128.1/20,186.121.143.254
186.64.0.1/20,186.64.15.254
157.92.0.1/18,157.92.63.254
190.103.0.1/20,190.103.15.254
181.28.0.1/18,181.28.63.254
181.46.0.1/18,181.46.63.254
190.120.176.1/20,190.120.191.254
190.13.224.1/20,190.13.239.254
190.1.32.1/20,190.1.47.254
190.31.0.1/20,190.31.15.254
190.109.32.1/20,190.109.47.254
190.182.128.1/20,190.182.143.254
190.110.224.1/20,190.110.239.254
190.98.128.1/20,190.98.143.254
190.113.160.1/20,190.113.175.254
181.24.0.1/18,181.24.63.254
186.19.0.1/20,186.19.15.254
200.1.224.1/20,200.1.239.254
190.113.128.1/20,190.113.143.254
190.105.0.1/20,190.105.15.254
186.33.0.1/20,186.33.15.254
186.148.128.1/20,186.148.143.254
190.92.128.1/20,190.92.143.254
200.125.96.1/20,200.125.111.254
190.3.64.1/20,190.3.79.254
190.13.240.1/20,190.13.255.254
200.123.64.1/20,200.123.79.254
